Sample,UTM,Easting,Northing,ALTITUDE,MINTEMP,PRECIPITATION,DISTWATER,ASPECT,SLOPE,DISTFARM,DISTPOUL,DENSITY,VEGTYPE,DIST_URB
1630,28N,372437.883,3657528.66,104,13.21095286,407.5574599,403.7277134,NE,8.141248822,725.6756079,725.6756079,6.184393712,grass,423.9367241
1631,28N,372261.943,3657644.06,115.5,12.90313439,421.197507,410.4881511,N,9.909094095,781.5936761,781.5936761,6.646349935,grass,334.7240874
1632,28N,372261.943,3657644.06,115.5,12.90313439,421.197507,410.4881511,N,9.909094095,781.5936761,781.5936761,6.646349935,grass,334.7240874
1633,28N,371742.661,3657712.94,82.4,13.00170832,418.8097578,303.1131746,SE,3.154074192,1224.982045,1224.982045,6.646349935,grass,561.6739386
1634,28N,371775.249,3657776.83,79,13,417,234.3197053,NE,2.814086825,1175.949277,1175.949277,6.646349935,grass,493.8042572
1635,28N,371656.466,3657905.91,82.5,13,418.0617162,276.9594584,E,2.837138748,1267.240981,1267.240981,6.574834809,grass,523.4940812
1636,28N,371398.728,3657978.04,99.5,13,412,421.5471863,NE,7.346918106,1500.130024,1500.130024,5.395921266,grass,750.9069385
1637,28N,371014.156,3657779.05,171.75,13,412,843.3776736,S,10.58567309,1921.215537,1921.215537,5.279071517,grass,1171.7769
1638,28N,371014.156,3657779.05,171.75,13,412,843.3776736,S,10.58567309,1921.215537,1921.215537,5.279071517,grass,1171.7769
1639,28N,371014.156,3657779.05,171.75,13,412,843.3776736,S,10.58567309,1921.215537,1921.215537,5.279071517,grass,1171.7769
1640,28N,372811.671,3657545.99,54.5,13.0873449,410.2655433,148.7900628,SE,4.696036696,541.4607247,541.4607247,5.696835313,grass,312.3632843
1641,28N,372807.476,3657510.56,54.5,13.0999224,409.0077978,115.5952242,SE,5.07943356,577.0610208,577.0610208,5.696835313,grass,348.0389474
1642,28N,372725.435,3657521.6,62.5,13.09778324,409.2217135,167.65848,E,4.673293948,586.9066338,586.9066338,5.696835313,grass,347.3523807
1643,28N,372820.665,3657663.42,57.33333333,13.01687478,417.3125287,246.3298658,E,4.211422145,424.5936646,424.5936646,5.696835313,grass,194.6377029
1644,28N,372361.67,3657700.43,88,13.01454722,418.2360475,422.4940856,NE,9.033423615,667.4099462,667.4099462,6.590769623,grass,264.3920249
1645,28N,373147.91,3657404.13,28.25,13.26903995,406.85572,83.58885455,E,1.933472872,714.0637,714.0637,5.696835313,grass,253.7951564
1646,28N,373147.91,3657404.13,28.25,13.26903995,406.85572,83.58885455,E,1.933472872,714.0637,714.0637,5.696835313,grass,253.7951564
1647,28N,373189.501,3657875.99,37,13.10000038,414.2302441,379.8362652,SE,2.000481367,343.3228865,343.3228865,5.695013983,arable,68.89199317
1648,28N,373177.837,3657840.66,35.5,13.10000038,414.3687551,342.7227758,SE,2.000481367,356.4583827,356.4583827,5.696835313,arable,103.3989334
1649,28N,373069.227,3657602.53,34.2,13.05190668,413.8093523,97.01347888,E,2.008400655,500.8781587,500.8781587,5.696835313,grass,286.870748
1650,28N,373100.382,3657772.9,36.4,13,419,264.7657667,SE,2.384516895,358.6593833,358.6593833,5.696835313,grass,144.3222299
1651,28N,375943.735,3661216.29,327.4,11.97992132,483.0039303,1442.637633,SW,6.981829882,950.1816595,950.1816595,3.164899492,grass,802.453466
1652,28N,375885.353,3661250.3,332.5,11.95990355,484.0048148,1376.643376,W,7.945610046,884.3671562,884.3671562,3.164899492,grass,734.8906758
1653,28N,375667.991,3660306.04,137.5,12.37200946,455.2337873,911.4699747,S,5.114767599,126.4190774,126.4190774,2.215421231,grass,118.4567697
1654,28N,375120.631,3660505.95,143.4,12.30000019,460,607.1302728,SW,9.743099403,525.7153821,525.7153821,2.531925203,grass,245.5166943
1655,28N,374211.191,3658170,44,13.10000038,413,1150.968044,SW,5.146400154,402.3498242,402.3498242,3.481391645,arable,22.29252591
1656,28N,374322.549,3658333.8,56.8,13.10000038,413,1029.367402,S,1.739757109,283.2536147,283.2536147,3.481391645,arable,107.5051406
1657,28N,374192.821,3658266.71,50,13.10000038,413,1052.690761,SW,2.911963749,304.2741628,304.2741628,3.481391645,arable,77.1044735
1658,28N,374102.951,3659485.46,75.25,12.94438098,418.5561881,251.0139313,E,2.067716678,56.03669066,56.03669066,5.380352976,arable,19.83938938
