Sample,UTM,Easting,Northing,ALTITUDE,MINTEMP,PRECIPITATION,DISTWATER,ASPECT,SLOPE,DISTFARM,DISTPOUL,DENSITY,VEGTYPE,DIST_URB,autocov1000m
1439,28N,345257,3109165,463,11.9,368,185.932321,SE,5.899,1155.831302,2177.221164,0.662,Shrub,71.114572,1
1441,28N,346018,3106537,212,12.8,310,53.878344,SE,2.677,717.382046,1102.249064,0.611,Shrub,42.567644,1
1445,28N,357875,3120450,251,12.73,306.5956,207.519511,SE,7.351,645.523818,2546.607547,0.916,Shrub,282.393121,0
1451,28N,348799,3110334,323,12.58,333.209,174.790778,SE,5.314,108.669222,1012.170934,0.611,Shrub,282.543219,0.58746869
1452,28N,349119,3112239,405,12.1,359,107.109615,SE,9.88,1093.563898,1924.486684,0.458,Shrub,198.769209,0
1453,28N,348104,3111511,456,11.74,347.6207,7.008616,SE,5.815,877.957857,919.167014,0.763,Urban,37.728718,1
1454,28N,345917,3111791,560,10.8,389.2373,56.789943,SE,6.005,561.698317,561.698317,0.56,Urban,20.592303,1
1455,28N,346600,3111334,461,11.53,370,98.030771,SE,3.925,755.765175,1216.182963,0.56,Urban,124.574289,0.47632929
1456,28N,346620,3111344,461,11.53,370,98.030771,SE,3.925,755.765175,1216.182963,0.56,Urban,124.574289,0.47632929
1461,28N,363125,3132509,164,13.28,299,91.329267,SE,3.723,813.517055,1487.953292,0.814,Urban,73.778088,0.36138606
1464,28N,364267,3135676,150,13.7,282,67.866136,SE,4.93,429.130516,429.130516,0.814,Urban,31.802302,0
1465,28N,364818,3136307,113,13.7,280,52.861102,SE,4.216,61.400325,61.400325,0.713,Shrub,41.716844,0
1466,28N,364876,3137521,106,13.7,280,161.328472,SE,8.434,627.376282,627.376282,0.458,Urban,8.437362,0
1467,28N,364984,3138547,149,13.5,269.3032,319.908594,SE,8.363,513.389715,513.389715,0.458,Urban,13.293421,1
1469,28N,366293,3139230,38,14.5,265.0084,299.212235,SE,6.669,591.731357,1943.726575,0.509,Grass,1.143877,0.70625705
1481,28N,351090,3128903,2188,1.76,486,3278.519194,SE,4.136,2887.001558,7442.05704,0.305,Shrub,2325.924294,0
1133,28N,355551,3111191,44,14.4,256,205.956609,SW,7.331,682.683674,2926.359683,0.407,Shrub,131.082819,0
1173,28N,332954,3099709,14,14.2,263,249.477649,SW,0.719,2837.180466,2837.180466,0.407,Shrub,223.942408,1
1176,28N,335450,3101840,49,14,272,322.851554,SW,1.479,910.670632,1602.061172,0.407,Urban,42.400688,0
1177,28N,338679,3099809,27,14.3,265,713.614572,SW,2.618,1156.868618,2888.800443,0.203,Shrub,163.205725,0
1180,28N,328699,3112226,219,13.4,330,366.656271,SW,2.158,730.310892,1506.478011,0.865,Shrub,62.760042,1
1181,28N,328710,3112246,219,13.4,330,366.656271,SW,2.158,730.310892,1506.478011,0.865,Shrub,62.760042,1
1182,28N,325835,3113337,112,13.8,302.4542,105.105866,SW,4.482,1700.04147,4569.510367,0.763,Grass,1.860505,0
1201,28N,359046,3116896,64,14.1,256,193.285291,SW,5.74,732.800109,1391.685668,0.458,Shrub,94.796804,0.28867779
1202,28N,357748,3117965,170,13.2,290,168.990569,SW,7.549,351.863609,351.863609,0.56,Shrub,47.820826,0
1216,28N,329603,3112238,249,13.3,339,215.496229,SW,5.453,349.292141,847.171765,0.713,Urban,25.17966,0.5
